latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
37.0086,-85.24466,309.74,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,290.92,0.87,N
37.2183,-87.66904,299.84,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,288.68,0.3,N
36.87602,-85.65779,310.79,0.39,0.36,2026-08-30,0741,N20,nominal,2.0NRT,291.54,0.77,N
37.37713,-89.86033,304,0.44,0.39,2026-08-30,0741,N20,nominal,2.0NRT,291.91,0.71,N
36.54678,-84.49595,304.27,0.41,0.37,2026-08-30,0741,N20,nominal,2.0NRT,292.15,0.56,N
37.21613,-88.88142,308.14,0.41,0.37,2026-08-30,0741,N20,nominal,2.0NRT,293.7,1.09,N
37.99164,-97.49535,298.56,0.36,0.58,2026-08-30,0744,N20,nominal,2.0NRT,283.35,0.36,N
37.07304,-88.43044,301.67,0.4,0.37,2026-08-30,0744,N20,nominal,2.0NRT,291.28,0.5,N
35.50696,-80.3315,303.67,0.41,0.45,2026-08-30,0744,N20,nominal,2.0NRT,290.82,0.71,N
35.50294,-80.33279,301.78,0.41,0.45,2026-08-30,0744,N20,nominal,2.0NRT,291.12,0.71,N
36.20538,-84.99135,301.75,0.4,0.37,2026-08-30,0744,N20,nominal,2.0NRT,291.23,0.45,N
35.9784,-83.9582,333.7,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,292.76,3.94,N
36.24693,-85.61584,317.52,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,293.79,1.63,N
36.49329,-87.50731,304.25,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,291.65,0.45,N
37.12747,-94.11316,304.99,0.46,0.47,2026-08-30,0744,N20,nominal,2.0NRT,292.17,0.58,N
35.74277,-84.39577,312.2,0.42,0.37,2026-08-30,0744,N20,nominal,2.0NRT,290.96,1.06,N
35.87316,-85.9167,304.69,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,293.7,0.58,N
35.52328,-85.13076,303.72,0.4,0.37,2026-08-30,0744,N20,nominal,2.0NRT,291.33,0.53,N
35.93739,-89.71458,328.35,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,296.06,3,N
35.89122,-89.77929,329.1,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,296.29,3.9,N
35.72972,-88.81265,318.03,0.4,0.37,2026-08-30,0744,N20,nominal,2.0NRT,293.7,1.51,N
35.72908,-88.80822,315.56,0.4,0.37,2026-08-30,0744,N20,nominal,2.0NRT,294.97,1.51,N
36.52074,-97.84138,319.02,0.37,0.58,2026-08-30,0744,N20,nominal,2.0NRT,293.55,1.79,N
35.38497,-87.3389,318.39,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,291.54,1.28,N
36.23751,-94.82237,310.07,0.49,0.49,2026-08-30,0744,N20,nominal,2.0NRT,294.13,1.4,N
35.67081,-89.96437,312.7,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,294.85,1.41,N
35.649,-89.93458,332.69,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,294.8,4.72,N
35.61134,-89.94698,338.28,0.43,0.38,2026-08-30,0744,N20,nominal,2.0NRT,296.67,5.21,N
34.94143,-85.70164,306.89,0.39,0.37,2026-08-30,0744,N20,nominal,2.0NRT,293.77,0.8,N
